Month,Airline,Service_Country,Flights_In,Passengers_In,Seats_In,Flights_Out,Passengers_Out,Seats_Out,Year,Month_num
Apr-91,Philippine Airlines,Philippines,21,4507,5724,21,3795,5724,1991,4
Apr-91,Polynesian Airlines,Western Samoa,10,792,1480,10,967,1480,1991,4
Apr-91,Qantas Airways,Argentina,0,122,250,0,92,250,1991,4
Apr-91,Qantas Airways,Fiji,0,2164,3040,0,2249,3040,1991,4
Apr-91,Qantas Airways,Hong Kong,56,10494,17647,56,9690,17641,1991,4
Apr-91,Qantas Airways,Indonesia,32,6631,9313,32,6421,9313,1991,4
Apr-91,Qantas Airways,Japan,117,20776,32124,114,18275,32027,1991,4
Apr-91,Qantas Airways,Malaysia,16,3009,5517,15,2199,5131,1991,4
Apr-91,Qantas Airways,New Caledonia,8,647,1825,8,560,1780,1991,4
Apr-91,Qantas Airways,New Zealand,174,22725,43754,175,22593,44742,1991,4
Apr-91,Qantas Airways,Papua New Guinea,24,1805,3939,24,1950,3939,1991,4
Apr-91,Qantas Airways,Philippines,4,716,808,4,509,808,1991,4
Apr-91,Qantas Airways,Singapore,64,9535,17179,66,10983,17962,1991,4
Apr-91,Qantas Airways,Solomon Islands,4,190,424,4,227,424,1991,4
Apr-91,Qantas Airways,Thailand,30,3644,6320,30,4501,6320,1991,4
Apr-91,Qantas Airways,UK,60,13322,22844,60,16241,22956,1991,4
Apr-91,Qantas Airways,USA,108,14933,30247,101,15824,28939,1991,4
Apr-91,Qantas Airways,Zimbabwe,9,1587,3607,9,1506,3607,1991,4
Apr-91,Royal Brunei Airlines,Brunei,13,839,1924,13,999,1924,1991,4
Apr-91,Singapore Airlines,Singapore,94,23752,34182,93,28176,33888,1991,4
Apr-91,Solomon Airlines,Solomon Islands,0,343,0,0,365,0,1991,4
Apr-91,Thai Airways International,Thailand,34,4928,12086,36,7151,12711,1991,4
Apr-91,Union de Transports Aeriens,France,9,794,3128,8,887,2712,1991,4
Apr-91,Union de Transports Aeriens,New Caledonia,8,541,1664,9,632,2080,1991,4
Apr-91,Union de Transports Aeriens,Tahiti,4,6,504,4,22,504,1991,4
Apr-91,United Airlines,USA,61,14741,23718,60,15372,23520,1991,4
Apr-91,Yugoslav Airlines,Yugoslavia,6,667,1662,6,1298,1662,1991,4
May-91,Aerolineas Argentinas,Argentina,4,646,1200,5,822,1500,1991,5
May-91,Air Caledonie,New Caledonia,17,1013,2022,16,846,1896,1991,5
May-91,Air China,China,4,583,1080,4,586,1080,1991,5
May-91,Nauru Airlines,Nauru,10,289,2500,10,335,2340,1991,5
May-91,Air New Zealand,New Zealand,232,33067,50494,229,31444,49685,1991,5
May-91,Air New Zealand,USA,0,536,1457,0,912,1457,1991,5
May-91,Air Niugini,Papua New Guinea,48,2343,5562,48,2688,5562,1991,5
May-91,Fiji Airways,Fiji,37,2885,8533,38,3051,8897,1991,5
May-91,Air Vanuatu,Vanuatu,16,1567,2320,16,1512,2320,1991,5
May-91,Alitalia,Italy,13,1155,3897,14,2239,3897,1991,5
May-91,All Nippon Airways,Japan,23,5106,8694,22,4995,8320,1991,5
May-91,American Airlines,USA,18,1770,4086,19,2016,4313,1991,5
May-91,British Airways,New Zealand,12,1440,3088,13,1660,3474,1991,5
May-91,British Airways,UK,57,12076,22002,57,13908,22002,1991,5
May-91,Canadian Airlines International,Canada,0,1295,2880,0,2110,2880,1991,5
May-91,Cathay Pacific Airways,Hong Kong,49,11113,18452,49,15282,18452,1991,5
May-91,Continental Airlines,Guam,13,1224,3692,13,1488,3692,1991,5
May-91,Continental Airlines,New Zealand,13,3703,5182,13,2653,5182,1991,5
May-91,Continental Airlines,USA,69,16603,26564,70,21055,26974,1991,5
May-91,Federal Express Corporation,USA,10,0,0,0,0,0,1991,5
May-91,Garuda Indonesia,Indonesia,55,6319,14104,55,7006,14104,1991,5
May-91,Gulf Air,Bahrain,9,343,1908,9,888,1908,1991,5
May-91,Japan Airlines,Japan,48,12026,19670,48,13151,19670,1991,5
May-91,KLM Royal Dutch Airlines,Netherlands,5,819,1935,5,1839,1935,1991,5
May-91,Korean Air,Korea,5,1103,1919,5,923,1919,1991,5
May-91,Lauda Air,Austria,9,622,1627,9,1095,1627,1991,5
May-91,Lufthansa German Airlines,Germany,25,2110,6272,25,4573,6272,1991,5
May-91,Malaysia Airlines,Malaysia,46,8895,13587,46,10889,13870,1991,5
May-91,Malaysia Airlines,New Zealand,9,478,1415,9,517,1132,1991,5
May-91,Merpati Nusantara Airlines,Indonesia,9,423,720,9,636,720,1991,5
May-91,Olympic Airways,Greece,9,1121,4023,9,2922,4023,1991,5
May-91,Philippine Airlines,Philippines,22,3865,6000,22,4048,6000,1991,5
May-91,Polynesian Airlines,Western Samoa,8,859,1184,8,931,1184,1991,5
May-91,Qantas Airways,Argentina,0,93,200,0,57,200,1991,5
May-91,Qantas Airways,Fiji,0,1957,2957,0,2113,2876,1991,5
May-91,Qantas Airways,Hong Kong,58,9084,18254,58,8188,18254,1991,5
May-91,Qantas Airways,Indonesia,33,5794,9495,33,6323,9495,1991,5
May-91,Qantas Airways,Japan,119,20821,33932,118,22260,33869,1991,5
May-91,Qantas Airways,Malaysia,19,3201,6480,18,2115,6083,1991,5
May-91,Qantas Airways,New Caledonia,9,662,1967,9,612,1907,1991,5
May-91,Qantas Airways,New Zealand,181,24295,44711,181,21872,45030,1991,5
